SamplingEventID,PapaemClass,celltype.aml,n,prop
AML61-AML-1,RUNX1::RUNX1T1,Dendritic cells,1,1.4088475626937165e-4
AML61-AML-1,RUNX1::RUNX1T1,NK-cells,29,0.00408565793181177
AML61-AML-1,RUNX1::RUNX1T1,T-cells,1135,0.15990419836573683
AML61-AML-1,RUNX1::RUNX1T1,B-cells,218,0.03071287686672302
AML117-AML-1,RUNX1::RUNX1T1,AML Immature,4049,0.6821091644204852
AML117-AML-1,RUNX1::RUNX1T1,HSC,11,0.00185309973045822
AML117-AML-1,RUNX1::RUNX1T1,LMPP,31,0.00522237196765498
AML117-AML-1,RUNX1::RUNX1T1,GMP,589,0.09922506738544476
AML117-AML-1,RUNX1::RUNX1T1,Monocytes,250,0.04211590296495957
AML117-AML-1,RUNX1::RUNX1T1,Megakaryocytic cells,93,0.01566711590296496
AML117-AML-1,RUNX1::RUNX1T1,Erythroid cells,451,0.07597708894878706
AML117-AML-1,RUNX1::RUNX1T1,Dendritic cells,17,0.00286388140161725
AML117-AML-1,RUNX1::RUNX1T1,NK-cells,34,0.0057277628032345
AML117-AML-1,RUNX1::RUNX1T1,T-cells,250,0.04211590296495957
AML117-AML-1,RUNX1::RUNX1T1,B-cells,161,0.02712264150943396
AML161-AML-1,RUNX1::RUNX1T1,AML Immature,2198,0.4639088222878851
AML161-AML-1,RUNX1::RUNX1T1,HSC,7,0.00147741663149008
AML161-AML-1,RUNX1::RUNX1T1,LMPP,41,0.00865344027015618
AML161-AML-1,RUNX1::RUNX1T1,GMP,7,0.00147741663149008
AML161-AML-1,RUNX1::RUNX1T1,Monocytes,31,0.00654284508231321
AML161-AML-1,RUNX1::RUNX1T1,Megakaryocytic cells,1102,0.23258758970029547
AML161-AML-1,RUNX1::RUNX1T1,Erythroid cells,669,0.14119881806669482
AML161-AML-1,RUNX1::RUNX1T1,NK-cells,57,0.01203039257070493
AML161-AML-1,RUNX1::RUNX1T1,T-cells,562,0.118615449556775
AML161-AML-1,RUNX1::RUNX1T1,B-cells,64,0.01350780920219501
AML23-AML-1,CBFB::MYH11,AML Immature,1288,0.2042823156225218
AML23-AML-1,CBFB::MYH11,HSC,29,0.00459952418715305
AML23-AML-1,CBFB::MYH11,LMPP,325,0.05154639175257732
AML23-AML-1,CBFB::MYH11,GMP,910,0.14432989690721648
AML23-AML-1,CBFB::MYH11,Monocytes,1690,0.26804123711340205
AML23-AML-1,CBFB::MYH11,Megakaryocytic cells,104,0.01649484536082474
AML23-AML-1,CBFB::MYH11,Erythroid cells,506,0.080253766851705
AML23-AML-1,CBFB::MYH11,Dendritic cells,853,0.135289452815226
AML23-AML-1,CBFB::MYH11,NK-cells,29,0.00459952418715305
AML23-AML-1,CBFB::MYH11,T-cells,425,0.06740681998413957
AML23-AML-1,CBFB::MYH11,B-cells,146,0.02315622521808089
AML123-AML-1,CBFB::MYH11,AML Immature,1872,0.2872487340800982
AML123-AML-1,CBFB::MYH11,HSC,9,0.00138100352923124
AML123-AML-1,CBFB::MYH11,LMPP,259,0.0397422126745435
AML123-AML-1,CBFB::MYH11,GMP,214,0.03283719502838729
AML123-AML-1,CBFB::MYH11,Monocytes,1970,0.3022863280650606
AML123-AML-1,CBFB::MYH11,Megakaryocytic cells,112,0.01718582169709989
AML123-AML-1,CBFB::MYH11,Erythroid cells,65,0.00997391437778118
AML123-AML-1,CBFB::MYH11,Dendritic cells,1138,0.1746202240294614
AML123-AML-1,CBFB::MYH11,NK-cells,81,0.01242903176308117
AML123-AML-1,CBFB::MYH11,T-cells,462,0.07089151450053706
AML123-AML-1,CBFB::MYH11,B-cells,335,0.05140402025471843
AML124-AML-1,CBFB::MYH11,AML Immature,4866,0.5165056788026748
AML124-AML-1,CBFB::MYH11,HSC,39,0.00413968793121749
AML124-AML-1,CBFB::MYH11,LMPP,39,0.00413968793121749
AML124-AML-1,CBFB::MYH11,GMP,652,0.06920709054240526
AML124-AML-1,CBFB::MYH11,Monocytes,3174,0.3369069100944698
AML124-AML-1,CBFB::MYH11,Megakaryocytic cells,110,0.01167604288292113
AML124-AML-1,CBFB::MYH11,Erythroid cells,28,0.00297208364292537
AML124-AML-1,CBFB::MYH11,Dendritic cells,39,0.00413968793121749
AML124-AML-1,CBFB::MYH11,NK-cells,32,0.00339666702048614
AML124-AML-1,CBFB::MYH11,T-cells,351,0.03725719138095743
AML124-AML-1,CBFB::MYH11,B-cells,91,0.00965927183950748
